OBJECTID,Id,Tipo,Eje_X,Eje_Y,RASTERVALU
239,3346,Catarroja,727580.7057,4360876.5533,
240,3347,Catarroja,727590.7057,4360876.5533,
241,3502,Borde_Area_Estudio,727380.7057,4360886.5533,
242,3503,Borde_Area_Estudio,727390.7057,4360886.5533,
243,3504,Borde_Area_Estudio,727400.7057,4360886.5533,
244,3505,Borde_Area_Estudio,727410.7057,4360886.5533,
245,3506,Borde_Area_Estudio,727420.7057,4360886.5533,
246,3507,Borde_Area_Estudio,727430.7057,4360886.5533,
247,3508,Borde_Area_Estudio,727440.7057,4360886.5533,
248,3509,Borde_Area_Estudio,727450.7057,4360886.5533,
249,3510,Borde_Area_Estudio,727460.7057,4360886.5533,
250,3511,Borde_Area_Estudio,727470.7057,4360886.5533,
251,3512,Borde_Area_Estudio,727480.7057,4360886.5533,
252,3513,Borde_Area_Estudio,727490.7057,4360886.5533,
253,3514,Borde_Area_Estudio,727500.7057,4360886.5533,
254,3515,Borde_Area_Estudio,727510.7057,4360886.5533,
255,3516,Catarroja,727520.7057,4360886.5533,
256,3517,Catarroja,727530.7057,4360886.5533,
257,3518,Catarroja,727540.7057,4360886.5533,
258,3519,Catarroja,727550.7057,4360886.5533,
259,3520,Catarroja,727560.7057,4360886.5533,1.6
260,3521,Catarroja,727570.7057,4360886.5533,1.6
261,3522,Catarroja,727580.7057,4360886.5533,
262,3523,Catarroja,727590.7057,4360886.5533,
263,3679,Borde_Area_Estudio,727370.7057,4360896.5533,
264,3680,Borde_Area_Estudio,727380.7057,4360896.5533,
265,3681,Borde_Area_Estudio,727390.7057,4360896.5533,
266,3682,Borde_Area_Estudio,727400.7057,4360896.5533,
267,3683,Borde_Area_Estudio,727410.7057,4360896.5533,
268,3684,Borde_Area_Estudio,727420.7057,4360896.5533,
269,3685,Borde_Area_Estudio,727430.7057,4360896.5533,
270,3686,Borde_Area_Estudio,727440.7057,4360896.5533,
271,3687,Borde_Area_Estudio,727450.7057,4360896.5533,
272,3688,Borde_Area_Estudio,727460.7057,4360896.5533,
273,3689,Borde_Area_Estudio,727470.7057,4360896.5533,
274,3690,Borde_Area_Estudio,727480.7057,4360896.5533,
275,3691,Borde_Area_Estudio,727490.7057,4360896.5533,
276,3692,Borde_Area_Estudio,727500.7057,4360896.5533,
277,3693,Catarroja,727510.7057,4360896.5533,
278,3694,Catarroja,727520.7057,4360896.5533,
279,3695,Catarroja,727530.7057,4360896.5533,
280,3696,Catarroja,727540.7057,4360896.5533,
281,3697,Catarroja,727550.7057,4360896.5533,1.6
282,3698,Catarroja,727560.7057,4360896.5533,1.6
283,3699,Catarroja,727570.7057,4360896.5533,1.6
284,3700,Catarroja,727580.7057,4360896.5533,
285,3701,Catarroja,727590.7057,4360896.5533,
286,3857,Borde_Area_Estudio,727360.7057,4360906.5533,
287,3858,Borde_Area_Estudio,727370.7057,4360906.5533,
288,3859,Borde_Area_Estudio,727380.7057,4360906.5533,
289,3860,Borde_Area_Estudio,727390.7057,4360906.5533,
290,3861,Borde_Area_Estudio,727400.7057,4360906.5533,
291,3862,Borde_Area_Estudio,727410.7057,4360906.5533,
292,3863,Borde_Area_Estudio,727420.7057,4360906.5533,
293,3864,Borde_Area_Estudio,727430.7057,4360906.5533,
294,3865,Borde_Area_Estudio,727440.7057,4360906.5533,
295,3866,Borde_Area_Estudio,727450.7057,4360906.5533,
296,3867,Borde_Area_Estudio,727460.7057,4360906.5533,
297,3868,Borde_Area_Estudio,727470.7057,4360906.5533,
298,3869,Borde_Area_Estudio,727480.7057,4360906.5533,
299,3870,Borde_Area_Estudio,727490.7057,4360906.5533,
300,3871,Catarroja,727500.7057,4360906.5533,
301,3872,Catarroja,727510.7057,4360906.5533,
302,3873,Catarroja,727520.7057,4360906.5533,
303,3874,Catarroja,727530.7057,4360906.5533,
304,3875,Catarroja,727540.7057,4360906.5533,1.6
305,3876,Catarroja,727550.7057,4360906.5533,1.6
306,3877,Catarroja,727560.7057,4360906.5533,1.6
307,3878,Catarroja,727570.7057,4360906.5533,1.6
308,3879,Catarroja,727580.7057,4360906.5533,
309,3880,Catarroja,727590.7057,4360906.5533,
310,4036,Borde_Area_Estudio,727350.7057,4360916.5533,
311,4037,Borde_Area_Estudio,727360.7057,4360916.5533,
312,4038,Borde_Area_Estudio,727370.7057,4360916.5533,
313,4039,Borde_Area_Estudio,727380.7057,4360916.5533,
314,4040,Borde_Area_Estudio,727390.7057,4360916.5533,
315,4041,Borde_Area_Estudio,727400.7057,4360916.5533,
316,4042,Borde_Area_Estudio,727410.7057,4360916.5533,
317,4043,Borde_Area_Estudio,727420.7057,4360916.5533,
318,4044,Borde_Area_Estudio,727430.7057,4360916.5533,
319,4045,Borde_Area_Estudio,727440.7057,4360916.5533,
320,4046,Borde_Area_Estudio,727450.7057,4360916.5533,
321,4047,Borde_Area_Estudio,727460.7057,4360916.5533,
322,4048,Borde_Area_Estudio,727470.7057,4360916.5533,
323,4049,Borde_Area_Estudio,727480.7057,4360916.5533,
324,4050,Catarroja,727490.7057,4360916.5533,
325,4051,Catarroja,727500.7057,4360916.5533,
326,4052,Catarroja,727510.7057,4360916.5533,
327,4053,Catarroja,727520.7057,4360916.5533,
328,4054,Catarroja,727530.7057,4360916.5533,1.6
329,4055,Catarroja,727540.7057,4360916.5533,1.6
330,4056,Catarroja,727550.7057,4360916.5533,1.6
331,4057,Catarroja,727560.7057,4360916.5533,1.6
332,4058,Catarroja,727570.7057,4360916.5533,1.6
333,4059,Catarroja,727580.7057,4360916.5533,
334,4060,Catarroja,727590.7057,4360916.5533,
335,4216,Borde_Area_Estudio,727340.7057,4360926.5533,
336,4217,Borde_Area_Estudio,727350.7057,4360926.5533,
337,4218,Borde_Area_Estudio,727360.7057,4360926.5533,
338,4219,Borde_Area_Estudio,727370.7057,4360926.5533,
339,4220,Borde_Area_Estudio,727380.7057,4360926.5533,
340,4221,Borde_Area_Estudio,727390.7057,4360926.5533,
341,4222,Borde_Area_Estudio,727400.7057,4360926.5533,
342,4223,Borde_Area_Estudio,727410.7057,4360926.5533,
343,4224,Borde_Area_Estudio,727420.7057,4360926.5533,
344,4225,Borde_Area_Estudio,727430.7057,4360926.5533,
345,4226,Borde_Area_Estudio,727440.7057,4360926.5533,
346,4227,Borde_Area_Estudio,727450.7057,4360926.5533,
347,4228,Borde_Area_Estudio,727460.7057,4360926.5533,
348,4229,Borde_Area_Estudio,727470.7057,4360926.5533,
349,4230,Catarroja,727480.7057,4360926.5533,
350,4231,Catarroja,727490.7057,4360926.5533,
351,4232,Catarroja,727500.7057,4360926.5533,
352,4233,Catarroja,727510.7057,4360926.5533,
353,4234,Catarroja,727520.7057,4360926.5533,1.4
354,4235,Catarroja,727530.7057,4360926.5533,1.6
355,4236,Catarroja,727540.7057,4360926.5533,1.6
356,4237,Catarroja,727550.7057,4360926.5533,1.6
357,4238,Catarroja,727560.7057,4360926.5533,1.6
358,4239,Catarroja,727570.7057,4360926.5533,1.6
359,4240,Catarroja,727580.7057,4360926.5533,
360,4241,Catarroja,727590.7057,4360926.5533,
361,4398,Borde_Area_Estudio,727330.7057,4360936.5533,
362,4399,Borde_Area_Estudio,727340.7057,4360936.5533,
363,4400,Borde_Area_Estudio,727350.7057,4360936.5533,
364,4401,Borde_Area_Estudio,727360.7057,4360936.5533,
365,4402,Borde_Area_Estudio,727370.7057,4360936.5533,
366,4403,Borde_Area_Estudio,727380.7057,4360936.5533,
367,4404,Borde_Area_Estudio,727390.7057,4360936.5533,
368,4405,Borde_Area_Estudio,727400.7057,4360936.5533,
369,4406,Borde_Area_Estudio,727410.7057,4360936.5533,
370,4407,Borde_Area_Estudio,727420.7057,4360936.5533,
371,4408,Borde_Area_Estudio,727430.7057,4360936.5533,
372,4409,Borde_Area_Estudio,727440.7057,4360936.5533,
373,4410,Borde_Area_Estudio,727450.7057,4360936.5533,
374,4411,Borde_Area_Estudio,727460.7057,4360936.5533,
375,4412,Catarroja,727470.7057,4360936.5533,
376,4413,Catarroja,727480.7057,4360936.5533,
377,4414,Catarroja,727490.7057,4360936.5533,
378,4415,Catarroja,727500.7057,4360936.5533,
379,4416,Catarroja,727510.7057,4360936.5533,
380,4417,Catarroja,727520.7057,4360936.5533,1.4
381,4418,Catarroja,727530.7057,4360936.5533,1.4
382,4419,Catarroja,727540.7057,4360936.5533,1.4
383,4420,Catarroja,727550.7057,4360936.5533,1.6
384,4421,Catarroja,727560.7057,4360936.5533,1.6
385,4422,Catarroja,727570.7057,4360936.5533,1.5582517929962565
386,4423,Catarroja,727580.7057,4360936.5533,
387,4424,Catarroja,727590.7057,4360936.5533,
388,4580,Borde_Area_Estudio,727330.7057,4360946.5533,
389,4581,Borde_Area_Estudio,727340.7057,4360946.5533,
390,4582,Borde_Area_Estudio,727350.7057,4360946.5533,
391,4583,Borde_Area_Estudio,727360.7057,4360946.5533,
392,4584,Borde_Area_Estudio,727370.7057,4360946.5533,
393,4585,Borde_Area_Estudio,727380.7057,4360946.5533,
394,4586,Borde_Area_Estudio,727390.7057,4360946.5533,
395,4587,Borde_Area_Estudio,727400.7057,4360946.5533,
396,4588,Borde_Area_Estudio,727410.7057,4360946.5533,
397,4589,Borde_Area_Estudio,727420.7057,4360946.5533,
398,4590,Borde_Area_Estudio,727430.7057,4360946.5533,
399,4591,Borde_Area_Estudio,727440.7057,4360946.5533,
400,4592,Borde_Area_Estudio,727450.7057,4360946.5533,
401,4593,Catarroja,727460.7057,4360946.5533,
402,4594,Catarroja,727470.7057,4360946.5533,
403,4595,Catarroja,727480.7057,4360946.5533,
404,4596,Catarroja,727490.7057,4360946.5533,
405,4597,Catarroja,727500.7057,4360946.5533,
406,4598,Catarroja,727510.7057,4360946.5533,1.4
407,4599,Catarroja,727520.7057,4360946.5533,1.4
408,4600,Catarroja,727530.7057,4360946.5533,1.4
409,4601,Catarroja,727540.7057,4360946.5533,1.4
410,4602,Catarroja,727550.7057,4360946.5533,1.4
411,4603,Catarroja,727560.7057,4360946.5533,1.6
412,4604,Catarroja,727570.7057,4360946.5533,1.6
413,4605,Catarroja,727580.7057,4360946.5533,
414,4606,Catarroja,727590.7057,4360946.5533,
415,4762,Borde_Area_Estudio,727320.7057,4360956.5533,
416,4763,Borde_Area_Estudio,727330.7057,4360956.5533,
417,4764,Borde_Area_Estudio,727340.7057,4360956.5533,
418,4765,Borde_Area_Estudio,727350.7057,4360956.5533,
419,4766,Borde_Area_Estudio,727360.7057,4360956.5533,
420,4767,Borde_Area_Estudio,727370.7057,4360956.5533,
421,4768,Borde_Area_Estudio,727380.7057,4360956.5533,
422,4769,Borde_Area_Estudio,727390.7057,4360956.5533,
423,4770,Borde_Area_Estudio,727400.7057,4360956.5533,
424,4771,Borde_Area_Estudio,727410.7057,4360956.5533,
425,4772,Borde_Area_Estudio,727420.7057,4360956.5533,
426,4773,Borde_Area_Estudio,727430.7057,4360956.5533,
427,4774,Borde_Area_Estudio,727440.7057,4360956.5533,
428,4775,Catarroja,727450.7057,4360956.5533,
429,4776,Catarroja,727460.7057,4360956.5533,
430,4777,Catarroja,727470.7057,4360956.5533,
431,4778,Catarroja,727480.7057,4360956.5533,
432,4779,Catarroja,727490.7057,4360956.5533,
433,4780,Catarroja,727500.7057,4360956.5533,1.4575280660175989
434,4781,Catarroja,727510.7057,4360956.5533,1.4
435,4782,Catarroja,727520.7057,4360956.5533,1.4
436,4783,Catarroja,727530.7057,4360956.5533,1.4
437,4784,Catarroja,727540.7057,4360956.5533,1.4
438,4785,Catarroja,727550.7057,4360956.5533,1.4
439,4786,Catarroja,727560.7057,4360956.5533,1.503712815232575
440,4787,Catarroja,727570.7057,4360956.5533,1.6
441,4788,Catarroja,727580.7057,4360956.5533,
442,4789,Catarroja,727590.7057,4360956.5533,
443,4945,Borde_Area_Estudio,727310.7057,4360966.5533,
444,4946,Borde_Area_Estudio,727320.7057,4360966.5533,
445,4947,Borde_Area_Estudio,727330.7057,4360966.5533,
446,4948,Borde_Area_Estudio,727340.7057,4360966.5533,
447,4949,Borde_Area_Estudio,727350.7057,4360966.5533,
448,4950,Borde_Area_Estudio,727360.7057,4360966.5533,
449,4951,Borde_Area_Estudio,727370.7057,4360966.5533,
450,4952,Borde_Area_Estudio,727380.7057,4360966.5533,
451,4953,Borde_Area_Estudio,727390.7057,4360966.5533,
452,4954,Borde_Area_Estudio,727400.7057,4360966.5533,
453,4955,Borde_Area_Estudio,727410.7057,4360966.5533,
454,4956,Borde_Area_Estudio,727420.7057,4360966.5533,
455,4957,Borde_Area_Estudio,727430.7057,4360966.5533,
456,4958,Catarroja,727440.7057,4360966.5533,
457,4959,Catarroja,727450.7057,4360966.5533,
458,4960,Catarroja,727460.7057,4360966.5533,
459,4961,Catarroja,727470.7057,4360966.5533,
460,4962,Catarroja,727480.7057,4360966.5533,
461,4963,Catarroja,727490.7057,4360966.5533,1.6
462,4964,Catarroja,727500.7057,4360966.5533,1.6
463,4965,Catarroja,727510.7057,4360966.5533,1.6
464,4966,Catarroja,727520.7057,4360966.5533,1.6
465,4967,Catarroja,727530.7057,4360966.5533,1.4
466,4968,Catarroja,727540.7057,4360966.5533,1.4
