POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4
722481.595935,4365898.74634,0.006055756609217158,0.6088945070829065,1.0,0.04542721719467338,0.3747467671569264,0.5584262248187545,0.7258290380708073,0.05267400096716729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722489.333738,4365898.75383,0.006098921173848671,0.6090280488702083,1.0,0.04542721719467338,0.37260295272043265,0.5526424863220636,0.7258290380708073,0.07282142248840363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722497.071541,4365898.76132,0.0067789749057217,0.6082267344690584,1.0,0.04487746625292488,0.37042359959235166,0.5468587035716638,0.7201091578538794,0.09295280405098576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722504.809422,4365898.76882,0.018910884068342165,0.583987148911901,1.0,0.04432417948507919,0.3682108937499854,0.5410757173880257,0.7144389776371683,0.10794418287127487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722512.547227,4365898.77633,0.010079573500592546,0.5695302475025321,1.0,0.04376856467331813,0.36596261609516373,0.5352854293424041,0.7088391840699791,0.08077773887195906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722520.285034,4365898.78377,0.00595300620000737,0.5695302475025321,1.0,0.043209414035460025,0.363681018846925,0.5294871756291638,0.7033210962623084,0.08077773887195906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722528.022916,4365898.79129,0.008698293784779227,0.5545056820526054,1.0,0.042646745075594156,0.36136497589575,0.5236889219159236,0.0,0.07181332289910614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722380.998522,4365906.35689,0.0,0.6217488433706536,0.3244764692636793,0.21136833205446992,0.40013782090074335,0.6245241841209196,0.7946098484930622,0.032051970689875954,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722388.736312,4365906.36419,0.0,0.6223498132505119,0.3244764692636793,0.20872882036885793,0.39841854975293867,0.6204979816768403,0.7885914646971705,0.04149503771515677,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
722396.474178,4365906.37159,0.0,0.6121665037474955,0.1893717631164152,0.20608811840515368,0.39666705200036756,0.616499305039754,0.7825873924196658,0.044089415737264985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722404.211967,4365906.37899,9.515426895580698e-05,0.6111982780323879,1.0,0.20344629617971582,0.39488110854486025,0.6125303668951102,0.776590345796642,0.038120112287440666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722411.949834,4365906.3864,0.0005431808482312086,0.6111982780323879,1.0,0.20080559421601163,0.39306071938641673,0.6086745412306496,0.7706004983010494,0.038120112287440666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722419.687624,4365906.39381,0.0011476025138400156,0.6103635941012433,1.0,0.04917913127781001,0.3912069775136878,0.6028850054980808,0.7646247888508936,0.028212156003748975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722427.425417,4365906.40116,0.0017600428999777046,0.6092283933915,1.0,0.04917913127781001,0.3893199160475418,0.5970947174524591,0.7646247888508936,0.01991364584455035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722435.163286,4365906.40859,0.002380499949468528,0.6100297077926499,1.0,0.04865406110238327,0.38739728276894037,0.5913051817198903,0.7586633041826497,0.012175144296923207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722442.901078,4365906.41603,0.0030097924182589998,0.6098293632713582,1.0,0.04812545510085939,0.3854401706665345,0.5855156459873215,0.7527089319053618,0.006999286130347069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722450.63887,4365906.42348,0.0038811885819243115,0.6098293632713582,1.0,0.04759214049923571,0.3834486459820607,0.5797268183140966,0.746775896800942,0.006999286130347069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722458.376742,4365906.43086,0.004601314090308832,0.6102300523139416,1.0,0.0470564978536967,0.3814215494851316,0.5739379906408716,0.7408570864784341,0.005499390689765725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722466.114536,4365906.43832,0.005332344436442414,0.6083269067297042,1.0,0.046517319382060524,0.379359974164398,0.5681491629676466,0.7349595265923191,0.009928492302922034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
