POINT_X,POINT_Y,PLA_Real,PLA_Predicho
722828.834573,4367116.68618,3.1156529648784246,3.1617584681674935
722457.023979,4367717.33605,5.119921963851242,5.153757849741847
722425.7433,4368164.1881,5.560921632324914,5.7636387294924045
723355.611419,4366323.50925,5.69339892483679,5.6676901387430725
722952.752417,4366954.99184,2.9752301586995773,2.962642683821829
721900.095116,4367624.35004,6.82253901516913,6.782740201510284
723323.207422,4368011.02209,3.8461375924227257,4.332478865735644
722557.111117,4368341.52295,0.0,3.0871284793480838
722604.371297,4367247.45605,6.232054584654246,6.3338797277862176
722249.169726,4366306.97895,0.8871340284950365,0.8555522934493524
721900.079361,4367647.46542,6.690223302850934,6.695143132751345
722921.123358,4367794.85477,5.101881919941327,4.863066899963083
723014.419168,4367232.46277,3.528320892891465,3.536052722138289
722797.900224,4367101.24323,3.0116395623427232,3.0174148739620135
722751.68624,4366839.19751,4.148560700787745,7.638226608519753
722882.443478,4367794.81469,4.981280386950373,4.824435447997031
